Code,ID,Name,FV,ISIN,Industry,Marketcap
533164,TEXMOPIPES,TEXMO PIPES & PRODUCTS LTD,10,INE141K01013,Plastic Products - Industrial,245.65
532845,TGBHOTELS,TGB BANQUETS AND HOTELS LTD,10,INE797H01018,Hotels & Resorts,46.3
507753,TGVSL,TGV SRAAC LTD,10,INE284B01028,Commodity Chemicals,1057.62
509945,THACKER,THACKER & CO.LTD,1,INE077P01034,Other Financial Services,70.7
526654,THAKDEV,THAKKERS DEVELOPERS LTD,10,INE403F01017,Residential- Commercial Projects,145.22
507530,THAKKERS,THAKKERS GROUP LTD,10,INE04VT01017,Trading & Distributors,2.87
509015,THAKRAL,THAKRAL SERVICES (INDIA) LTD,3,INE190F01028,Industrial Products,21.96
533158,THANGAMAYL,THANGAMAYIL JEWELLERY LTD,10,INE085J01014,Gems- Jewellery And Watches,3545.69
590062,ANDHRSUGAR,ANDHRA SUGARS LTD,2,INE715B01021,Commodity Chemicals,1453.62
542460,ANUP,THE ANUP ENGINEERING LTD,10,INE294Z01018,Industrial Products,3353.56
531373,BYKE,THE BYKE HOSPITALITY LTD,10,INE319B01014,Hotels & Resorts,275.95
522073,HITECHGEAR,THE HI-TECH GEARS LTD,10,INE127B01011,Auto Components & Equipments,1646.1
540954,IWP,THE INDIAN WOOD PRODUCTS COMPANY LTD,2,INE586E01020,Forest Products,190.96
530023,THEINVEST,THE INVESTMENT TRUST OF INDIA LTD,10,INE924D01017,Other Financial Services,756.73
540769,NIACL,THE NEW INDIA ASSURANCE COMPANY LTD,5,INE470Y01017,General Insurance,37055.28
503100,PHOENIXLTD,THE PHOENIX MILLS LTD,2,INE211B01039,Residential- Commercial Projects,53526.07
542123,PHOSPHATE,THE PHOSPHATE COMPANY LTD,10,INE398C01016,Fertilizers,54.83
500260,RAMCOCEM,THE RAMCO CEMENTS LIMITED,1,INE331A01037,Cement & Cement Products,19774.13
507300,RAVALSUGAR,THE RAVALGAON SUGAR FARM LTD,10,INE615A01025,Sugar,33.58
540980,YSL,THE YAMUNA SYNDICATE LTD,100,INE868X01014,Trading & Distributors,722.31
530199,THEMISMED,THEMIS MEDICARE LTD,1,INE083B01024,Pharmaceuticals,1985.77
500411,THERMAX,THERMAX LTD,2,INE152A01029,Heavy Electrical Equipment,54195.26
539310,THINKINK,THINKINK PICTUREZ LTD,5,INE365S01037,Advertising & Media Agencies,124.44
538464,TPROJECT,THIRANI PROJECTS LTD,10,INE901C01017,Non Banking Financial Company (NBFC),7.24
531652,THIRDFIN,THIRDWAVE FINANCIAL INTERMEDIARIES LTD,10,INE528C01018,Non Banking Financial Company (NBFC),23.95
500412,TIRUMALCHM,THIRUMALAI CHEMICALS LTD,1,INE338A01024,Commodity Chemicals,2731.2
500413,THOMASCOOK,THOMAS COOK (INDIA) LTD,1,INE332A01027,"Tour, Travel Related Services",8328.09
533941,THOMASCOTT,THOMAS SCOTT (INDIA) LIMITED,10,INE480M01011,Garments & Apparels,235.63
539871,THYROCARE,THYROCARE TECHNOLOGIES LTD,10,INE594H01019,Healthcare Service Provider,3296.83
540108,TIAANC,TIAAN CONSUMER LTD,10,INE864T01011,Personal Care,6.38
590005,TIDEWATER,TIDE WATER OIL (INDIA) LTD,2,INE484C01030,Lubricants,2761.7
543531,TIERRA,TIERRA AGROTECH LTD,10,INE05CY01014,Other Agricultural Products,459.76
750840,TIERRA-RE,TIERRA AGROTECH LTD,0.05,INE05CY20014,,
536264,TIGERLOGS,TIGER LOGISTICS (INDIA) LTD,1,INE906O01029,Logistics Solution Provider,568.38
533629,TIJARIA,TIJARIA POLYPIPES LTD,10,INE440L01017,Plastic Products - Industrial,41.82
505196,TIL,TIL LTD,10,INE806C01018,Construction Vehicles,351.5
503663,TILAK,TILAK VENTURES LTD,1,INE026L01022,Investment Company,125.24
507205,TI,TILAKNAGAR INDUSTRIES LTD,10,INE133E01013,Breweries & Distilleries,4498.33
532856,TIMETECHNO,TIME TECHNOPLAST LTD,1,INE508G01029,Plastic Products - Industrial,6105.53
543310,TIMESGREEN,TIMES GREEN ENERGY (INDIA) LTD,10,INE0B6101012,Other Agricultural Products,14.14
511559,TIMESGTY,TIMES GUARANTY LTD,10,INE289C01025,Non Banking Financial Company (NBFC),88.29
500414,TIMEX,TIMEX GROUP INDIA LTD,1,INE064A01026,Gems- Jewellery And Watches,1405.22
522113,TIMKEN,TIMKEN INDIA LTD,10,INE325A01013,Abrasives & Bearings,22095.5
531205,TINEAGRO,TINE AGRO LTD,1,INE179O01031,Trading & Distributors,1422.93
530475,TINNARUBR,TINNA RUBBER AND INFRASTRUCTURE LIMITED,10,INE015C01016,Specialty Chemicals,1382.18
541741,TINNATFL,TINNA TRADE LTD,10,INE401Z01019,Trading & Distributors,113.35
543614,TIPSFILMS,TIPS FILMS LTD,10,INE0LQS01015,Film Production- Distribution & Exhibition,320.8
532375,TIPSINDLTD,TIPS INDUSTRIES LTD,1,INE716B01029,Media & Entertainment,6025.13
526675,TIRTPLS,TIRTH PLASTIC LTD,10,INE008N01018,Trading & Distributors,24.64
539488,TFLL,TIRUPATI FINLEASE LTD,10,INE027S01017,Investment Company,
540904,TIRUFOAM,TIRUPATI FOAM LTD,10,INE115G01015,Furniture- Home Furnishing,32.17
531814,TIRSARJ,TIRUPATI SARJAN LTD,5,INE297J01023,Residential- Commercial Projects,43.85
524582,TIRUSTA,TIRUPATI STARCH & CHEMICALS LTD,10,INE314D01011,Other Food Products,169.59
539040,TTIL,TIRUPATI TYRES LTD,10,INE812Q01016,Tyres & Rubber Products,170.88
539985,TITAANIUM,TITAANIUM TEN ENTERPRISE LTD,10,INE120V01014,Other Textile Products,30.17
532966,TITAGARH,TITAGARH RAIL SYSTEMS LTD,2,INE615H01020,Railway Wagons,12550.92
524717,TITANBIO,TITAN BIOTECH LTD,10,INE150C01011,Specialty Chemicals,435.58
500114,TITAN,TITAN COMPANY LIMITED,1,INE280A01028,Gems- Jewellery And Watches,321351.96
521005,TITANIN,TITAN INTECH LTD,10,INE807M01023,IT Enabled Services,117.26
530045,TITANSEC,TITAN SECURITIES LTD,10,INE090D01017,Non Banking Financial Company (NBFC),85.31
511096,TVOLCON,TIVOLI CONSTRUCTION LTD,10,INE747V01014,Residential- Commercial Projects,
522171,TMTIND-B1,TMT (INDIA) LTD,10,INE182E01010,Industrial Products,1.83
531644,TOKYOFIN,TOKYO FINANCE LTD,10,INE546D01018,Non Banking Financial Company (NBFC),13.9
500418,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD,10,INE932C01012,Plastic Products - Consumer,101.52
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD,5,INE685A01028,Pharmaceuticals,87193.17
532779,TORNTPOWER,TORRENT POWER LTD,10,INE813H01021,Integrated Power Utilities,76084.04
526650,TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LTD,10,INE305A01015,Financial Institution,1556.67
538607,TOYAMSL,TOYAM SPORTS LTD,1,INE457P01020,Other Financial Services,231.78
500421,TPINDIA,TPI INDIA LTD,1,INE578C01021,Packaging,82.06
526582,TPLPLASTEH,TPL PLASTECH LTD,2,INE413G01022,Packaging,573.95
543638,TRACXN,TRACXN TECHNOLOGIES LTD,1,INE0HMF01019,Data Processing Services,1030.13
531203,TRADEWELL,TRADEWELL HOLDINGS LTD,10,INE819G01012,Consulting Services,12.81
523752,TIHIL,TRANS INDIA HOUSE IMPEX LTD,10,INE502D01011,Industrial Products,94.12
500422,TRANSCHEM,TRANSCHEM LTD,10,INE019B01010,Pharmaceuticals,39.44
532410,TRANSCOR,TRANSCORP INTERNATIONAL LTD,2,INE330E01023,Other Financial Services,136.57
532928,TRIL,TRANSFORMERS AND RECTIFIERS (INDIA) LTD,1,INE763I01026,Heavy Electrical Equipment,7765.47
513063,TRANSFRE,TRANS-FREIGHT CONTAINERS LTD,10,INE360D01014,Iron & Steel Products,23.81
526139,TRABI,TRANSGENE BIOTEK LTD,10,INE773D01018,Healthcare Service Provider,50.51
519367,TRANSFD,TRANSGLOBE FOODS LTD,10,INE213P01027,Other Beverages,2.31
543955,TREL,TRANSINDIA REAL ESTATE LTD,2,INE0O3901029,Logistics Solution Provider,1189.66
509003,TRANOCE,TRANSOCEANIC PROPERTIES LTD,10,INE074J01018,Diversified Commercial Services,0.08
506687,TRANSPEK,TRANSPEK INDUSTRY LTD,10,INE687A01016,Commodity Chemicals,1072.21
532349,TCI,TRANSPORT CORPORATION OF INDIA LTD,2,INE688A01022,Logistics Solution Provider,6596.22
543754,TRANSVOY,TRANSVOY LOGISTICS INDIA LTD,10,INE0MPU01011,Logistics Solution Provider,16.08
532812,TFL,TRANSWARRANTY FINANCE LTD,10,INE804H01012,Non Banking Financial Company (NBFC),56.3
